Donor,Recipient,Commodity,VWT,Water Saved
China,Lao People's Democratic Republic,RICE,1632559.4303932446,2059242.516311003
United States of America,Afghanistan,PEAS,1323209.3343433375,0
United States of America,Angola,SORGHUM,7680476.5516326055,0
United States of America,"Congo, Democratic Republic of the",MAIZE MEAL,9655560.014793033,52061383.16735203
United States of America,El Salvador,SOYA FLOUR,7777462.386594876,
United States of America,Eritrea,SORGHUM,56779074.89190931,309037358.7610936
United States of America,Eritrea,SOFT WHITE WHEAT,73628749.8934694,147798538.35080183
United States of America,Eritrea,LENTILS,10223184.781046847,0
United States of America,Eritrea,TEXTURED SOY PROTEINS,35257.82948589677,
United States of America,Ghana,SOYA-FORTIFIED SORGHUM GRITS,9067826.039310887,0
United States of America,Ghana,SOYA-FORTIFIED BULGUR WHEAT,7775632.857191852,0
United States of America,Ghana,WHEAT-SOYA BLEND,3451419.6507637547,0
United States of America,Ghana,VEGETABLE OIL,2909018.649233468,0
United States of America,Haiti,MAIZE MEAL,243340.90507650326,1852071.368651162
United States of America,Kenya,SORGHUM,6990104.88426648,0
United States of America,Kenya,PEAS,13781675.237647183,0
United States of America,Kenya,MAIZE,7767589.78087003,28135650.866082475
United States of America,Malawi,SOYA OIL,9877876.512232326,0
United States of America,Sierra Leone,BULGUR WHEAT,17133000.179892596,0
United States of America,Sierra Leone,CORN-SOYA BLEND,1007151.5729788234,0
United States of America,Sierra Leone,VEGETABLE OIL,2397523.662432094,0
United States of America,Sierra Leone,PEAS,551421.7568733611,0
United States of America,Sudan,LENTILS,26526968.49182055,0
United States of America,Tajikistan,BEANS,257119.3918191348,319591.88637797465
United States of America,Tanzania,CORN-SOYA BLEND,3099075.5670116455,0
Austria,Angola,CANNED MEAT,3943755.5961555997,-1635989.4489298237
Canada,China,WHEAT,58275500.55065943,-2389377.2422136134
Canada,Egypt,WHEAT,4016918.852686422,-667581.0419710014
Canada,Eritrea,WHEAT,4375021.468268149,14865676.833618179
Canada,Eritrea,PEAS,2885761.738496513,0
Canada,Ethiopia,WHEAT,75078158.1087414,161538192.25165805
Canada,Ethiopia,VEGETABLE OIL,5374082.608092882,12491503.447726043
Canada,Sudan,VEGETABLE OIL,3905621.3421118045,0
China,Mauritania,MILK,0.0,0.0
China,Mauritania,VEGETABLE OIL,1338607.6203742835,
Denmark,Iraq,PEA WHEAT BLENDED,2668512.934214426,25817623.939367503
Denmark,Lesotho,VEGETABLE OIL,0.0,0
Denmark,Mali,VEGETABLE OIL,0.0,438978.4996317743
Denmark,Nepal,VEGETABLE OIL,0.0,
Denmark,Tanzania,PEAS,581455.1879208221,0
European Community,Algeria,VEGETABLE OIL,1944824.1619200297,
European Community,Guinea-Bissau,VEGETABLE OIL,827499.6947943394,
Germany,"Korea, Democratic People's Republic of",WHEAT,287640.5134596348,758191.1470370691
Hungary,Sri Lanka,WHEAT FLOUR,56121.405518976295,
Japan,Honduras,CANNED FISH,,
Japan,Nicaragua,CANNED FISH,,
Luxembourg,Ethiopia,WHEAT,1108397.282017827,5202020.193651906
Netherlands,Chad,SUGAR,0.0,21555.214354337077
Norway,East Timor,HIGH ENERGY BISCUITS,,
Saudi Arabia,Afghanistan,DRIED FRUITS,0.0,10863003.72013094
Sri Lanka,Cape Verde,MAIZE MEAL,20191.756892852005,
United States of America,Bolivia,SOYA-FORTIFIED BULGUR WHEAT,1011934.5572919911,0
United States of America,Bolivia,LENTILS,2589783.202198022,0
United States of America,Burkina Faso,WHEAT-SOYA BLEND,251176.6133278335,
United States of America,Burundi,VEGETABLE OIL,2750806.3954006513,0
United States of America,Burundi,PEAS,6166854.977357368,0
United States of America,"Congo, Democratic Republic of the",CORN-SOYA BLEND,1005835.3773227392,2358728.0082262782
United States of America,"Congo, Democratic Republic of the",VEGETABLE OIL,5141437.921340716,0
United States of America,"Congo, Democratic Republic of the",PEAS,5176533.706792002,0
United States of America,Ethiopia,PEAS,8499336.720170777,23362953.721958783
United States of America,Georgia,WHEAT FLOUR,5545137.212583589,3518901.79311306
United States of America,Guinea,BULGUR WHEAT,6733478.626279166,0
United States of America,Haiti,SOYA OIL,16606980.090953698,
United States of America,Kenya,HARD RED WINTER WHEAT,43188733.95456037,0
United States of America,Lesotho,CORN-SOYA BLEND,447685.5973075446,1980945.0372891251
United States of America,Madagascar,RICE,10364355.802123753,16826208.77218457
United States of America,Madagascar,HARD RED WINTER WHEAT,14906193.372146174,0
United States of America,Mauritania,WHEAT,52203878.102877915,0
United States of America,Mauritania,HARD RED WINTER WHEAT,23051643.51353079,0
United States of America,Mozambique,SORGHUM,11202235.937305894,62062795.79409219
United States of America,Nicaragua,LENTILS,1193776.9146698827,0
United States of America,Senegal,SOYA-FORTIFIED BULGUR WHEAT,814968.7238190856,
United States of America,Senegal,WHEAT-SOYA MILK,1292981.788029108,
United States of America,Senegal,VEGETABLE OIL,2138608.2157551534,0
United States of America,Senegal,LENTILS,1523401.8836458952,0
United States of America,Sierra Leone,HARD RED WINTER WHEAT,5884023.699531385,
United States of America,Uganda,BEANS,1841947.3051252933,0
Canada,Bangladesh,WHEAT,24986710.592837404,364906.8044183235
Canada,"Congo, Democratic Republic of the",VEGETABLE OIL,2504157.3173431116,0
