"","Pop_change_all","Income_change_all","Ag_change_all","Livstk_change_all","Avg_Rain_all","Avg_Temp_all","cluster_all","Water_change_all"
"419",164,2504.5,3933,-1100,44.206,64.6966666666667,4,1.36
"420",115.5,1917,197,-5000,44.992,64.7183333333333,4,-0.1
"421",1450,2791.5,143,-2500,43.126,63.2683333333333,4,0.28
"423",855,2685.5,6867,-400,47.598,66.775,4,-0.58
"424",2443,3170,-490,-3900,44.484,65.1083333333333,4,-0.560000000000002
"425",4253.5,4395.5,5448,-1000,49.584,65.79,4,8.56
"427",453,2861.5,79,-2300,44.248,62.5683333333333,4,0.03
"429",8067,2882,4258,-2300,49.094,66.8033333333333,4,4.86
"431",556,3865.5,97,300,44.718,62.8016666666667,4,1.72
"432",1106.5,2687.5,-20,-300,46.008,67.5133333333333,4,-0.24
"433",480,1859.5,-1868,-4000,46.642,64.3166666666667,4,7.95
"434",2340,3000.5,-177,0,47.584,60.9566666666667,4,-0.0699999999999998
"435",777,2132.5,-160,600,48.042,64.0416666666667,4,0.3
"436",61.5,3524,253,-2500,46.846,62.0283333333333,4,0.32
"437",51.5,2169.5,10080,-8500,52.416,66.6916666666667,4,5.22
"438",1828.5,2357.5,3976,-1500,47.6,66.665,4,45.22
"439",2322,4116,-44,-3200,44.244,62.7566666666667,4,90.98
"440",553.5,2449.5,774,-1700,44.65,65.8016666666667,4,-1.78
"441",1287,4055,216,-3000,46.964,61.9816666666667,4,-0.26
"442",5179.5,2827.5,155,-300,55.92,59.2266666666667,4,0.81
"443",3506.5,3156.5,73,-800,45.054,64.4516666666667,4,6.15
"444",10096.5,3838,30,-2000,48.406,61.7133333333333,4,8.65
"446",1436,3512.5,278,-1300,45.966,61.4883333333333,4,0.14
"447",20033.5,3826,-15,-1900,50.322,60.245,4,0.81
"448",1239.5,2521,1159,-800,44.12,63.9866666666667,4,6.48
"450",1154,2186,1508,600,46.144,67.1183333333333,4,2.48
"451",1732,3034,49,1700,48.172,62.12,4,-1
"452",2156,2716.5,-12,2900,51.246,60.3833333333333,4,-1.86
"453",740,2585,-6228,-1100,45.516,65.1833333333333,4,4.73
"454",2337.5,4105,492,-2500,44.47,62.7866666666667,4,-22.09
"456",-116,2409,-139,-2000,51.088,65.13,4,-1.45
"458",8010,3295,67,-700,48.948,61.525,4,0.12
"459",89,2617,-197,-1100,48.46,64.2133333333333,4,-0.98
"460",766,2312.5,1673,1000,44.538,64.795,4,17.38
"461",179.5,2682.5,-9487,3300,53.17,67.1483333333333,4,46.84
