,Geo_FIPS,Geo_QName,population_2020,population_2010,population_2000,population_1990,population_1980,pop_changes
169,6027,"Inyo County, California",17930,18434,17945,18281,17895,35
170,6029,"Kern County, California",892458,815693,661645,543477,403089,489369
171,6031,"Kings County, California",151090,151122,129461,101469,73738,77352
172,6033,"Lake County, California",64276,64371,58309,50631,36366,27910
173,6035,"Lassen County, California",30600,35081,33828,27598,21661,8939
174,6037,"Los Angeles County, California",10040682,9758256,9519338,8863164,7477503,2563179
175,6039,"Madera County, California",155925,147738,123109,88090,63116,92809
176,6041,"Marin County, California",259441,248601,247289,230096,222568,36873
177,6043,"Mariposa County, California",17319,18290,17130,14302,11108,6211
178,6045,"Mendocino County, California",87110,87487,86265,80345,66738,20372
179,6047,"Merced County, California",273661,250699,210554,178403,134560,139101
180,6049,"Modoc County, California",8853,9605,9449,9678,8610,243
181,6051,"Mono County, California",14395,13905,12853,9956,8577,5818
182,6053,"Monterey County, California",432977,407435,401762,355660,290444,142533
183,6055,"Napa County, California",138572,134051,124279,110765,99199,39373
184,6057,"Nevada County, California",99417,98186,92033,78510,51645,47772
185,6059,"Orange County, California",3170345,2965525,2846289,2410556,1932709,1237636
186,6061,"Placer County, California",391799,336477,248399,172796,117247,274552
187,6063,"Plumas County, California",18844,20392,20824,19739,17340,1504
188,6065,"Riverside County, California",2437864,2109464,1545387,1170413,663166,1774698
189,6067,"Sacramento County, California",1537948,1395144,1223499,1041219,783381,754567
190,6069,"San Benito County, California",61547,54492,53234,36697,25005,36542
191,6071,"San Bernardino County, California",2162532,2005287,1709434,1418380,895016,1267516
192,6073,"San Diego County, California",3323970,3022468,2813833,2498016,1861846,1462124
193,6075,"San Francisco County, California",874784,789172,776733,723959,678974,195810
194,6077,"San Joaquin County, California",751615,673613,563598,480628,347342,404273
195,6079,"San Luis Obispo County, California",282517,265577,246681,217162,155435,127082
196,6081,"San Mateo County, California",765623,704327,707161,649623,587329,178294
197,6083,"Santa Barbara County, California",444895,416051,399347,369608,298694,146201
198,6085,"Santa Clara County, California",1924379,1739396,1682585,1497577,1295071,629308
199,6087,"Santa Cruz County, California",273170,256901,255602,229734,188141,85029
200,6089,"Shasta County, California",179267,176906,163256,147036,115715,63552
201,6091,"Sierra County, California",2898,3366,3555,3318,3073,-175
202,6093,"Siskiyou County, California",43516,44690,44301,43531,39732,3784
203,6095,"Solano County, California",444538,410042,394542,340421,235203,209335
204,6097,"Sonoma County, California",496801,474047,458614,388222,299681,197120
205,6099,"Stanislaus County, California",546235,509682,446997,370522,265900,280335
206,6101,"Sutter County, California",96315,93420,78930,64415,52246,44069
207,6103,"Tehama County, California",64176,62575,56039,49625,38888,25288
208,6105,"Trinity County, California",12541,13701,13022,13063,11858,683
209,6107,"Tulare County, California",463955,429404,368021,311921,245738,218217
210,6109,"Tuolumne County, California",54147,56074,54501,48456,33928,20219
211,6111,"Ventura County, California",845599,809080,753197,669016,529174,316425
212,6113,"Yolo County, California",218774,196418,168660,141092,113374,105400
213,6115,"Yuba County, California",77524,71160,60219,58228,49733,27791
214,8001,"Adams County, Colorado",509844,425330,363857,265038,245944,263900
215,8003,"Alamosa County, Colorado",16153,15293,14966,13617,11799,4354
216,8005,"Arapahoe County, Colorado",649980,552860,487967,391511,293621,356359
217,8007,"Archuleta County, Colorado",13588,12136,9898,5345,3664,9924
218,8009,"Baca County, Colorado",3570,3833,4517,4556,5419,-1849
219,8011,"Bent County, Colorado",5677,6125,5998,5048,5945,-268
220,8013,"Boulder County, Colorado",324682,290177,291288,225339,189625,135057
221,8015,"Chaffee County, Colorado",19977,17540,16242,12684,13227,6750
222,8017,"Cheyenne County, Colorado",1999,2194,2231,2397,2153,-154
223,8019,"Clear Creek County, Colorado",9533,9088,9322,7619,7308,2225
224,8021,"Conejos County, Colorado",8130,8220,8400,7453,7794,336
225,8023,"Costilla County, Colorado",3810,3536,3663,3190,3071,739
226,8025,"Crowley County, Colorado",5733,5897,5518,3946,2988,2745
227,8027,"Custer County, Colorado",4941,3899,3503,1926,1528,3413
228,8029,"Delta County, Colorado",30758,30533,27834,20980,21225,9533
229,8031,"Denver County, Colorado",715878,578087,554636,467610,492365,223513
230,8033,"Dolores County, Colorado",1896,2027,1844,1504,1658,238
231,8035,"Douglas County, Colorado",344280,273440,175766,60391,25153,319127
232,8037,"Eagle County, Colorado",54960,50793,41659,21928,13320,41640
233,8039,"Elbert County, Colorado",26230,22712,19872,9646,6850,19380
234,8041,"El Paso County, Colorado",710499,599988,516929,397014,309424,401075
235,8043,"Fremont County, Colorado",47725,46941,46145,32273,28676,19049
236,8045,"Garfield County, Colorado",59605,54761,43791,29974,22514,37091
237,8047,"Gilpin County, Colorado",6108,5126,4757,3070,2441,3667
238,8049,"Grand County, Colorado",15536,14526,12442,7966,7475,8061
239,8051,"Gunnison County, Colorado",17119,15136,13956,10273,10689,6430
240,8053,"Hinsdale County, Colorado",781,489,790,467,408,373
241,8055,"Huerfano County, Colorado",6769,6948,7862,6009,6440,329
242,8057,"Jackson County, Colorado",1316,1464,1577,1605,1863,-547
243,8059,"Jefferson County, Colorado",578795,528614,527056,438430,371753,207042
244,8061,"Kiowa County, Colorado",1463,1643,1622,1688,1936,-473
245,8063,"Kit Carson County, Colorado",7246,8156,8011,7140,7599,-353
246,8065,"Lake County, Colorado",7845,7039,7812,6007,8830,-985
247,8067,"La Plata County, Colorado",56138,50149,43941,32284,27424,28714
248,8069,"Larimer County, Colorado",350523,291162,251494,186136,149184,201339
249,8071,"Las Animas County, Colorado",14323,15675,15207,13765,14897,-574
250,8073,"Lincoln County, Colorado",5608,5476,6087,4529,4663,945
251,8075,"Logan County, Colorado",22282,22278,20504,17567,19800,2482
252,8077,"Mesa County, Colorado",152962,142284,116255,93145,81530,71432
253,8079,"Mineral County, Colorado",853,1020,831,558,804,49
254,8081,"Moffat County, Colorado",13150,13519,13184,11357,13133,17
255,8083,"Montezuma County, Colorado",26266,25279,23830,18672,16510,9756
256,8085,"Montrose County, Colorado",42280,40266,33432,24423,24352,17928
257,8087,"Morgan County, Colorado",28617,27911,27171,21939,22513,6104
258,8089,"Otero County, Colorado",18284,18830,20311,20185,22567,-4283
